	 t,	    x,         y,       yaw,   current,   battCap,  mBattCap,   voltage,     mVLpf,   battTem,  tEneDiss,    batLel,
 84.000000,  1.691893,  8.541541, -1.231892, -0.586000,  2.240000,  2.702000, 14.778000, 14.842747, 16.000000,  0.000000,  0.829016,  1.691893,
 85.000000,  1.505810,  8.259620, -0.931892, -0.612000,  2.240000,  2.702000, 14.834000, 14.837254, 16.000000,  0.000000,  0.829016,  1.505810,
 86.000000,  1.513631,  8.217362, -0.611892, -0.690000,  2.239000,  2.702000, 14.834000, 14.837703, 16.000000,  0.000000,  0.828645,  1.513631,
 87.000000,  1.511860,  8.149630, -0.409864, -0.658000,  2.239000,  2.702000, 14.778000, 14.831261, 16.000000,  0.000000,  0.828645,  1.511860,
 88.000000,  1.532270,  8.091530, -0.661894, -0.462000,  2.239000,  2.702000, 14.834000, 14.827869, 16.000000,  0.000000,  0.828645,  1.532270,
 89.000000,  1.540181,  8.078787, -1.021894, -0.534000,  2.239000,  2.702000, 14.862000, 14.832188, 16.000000,  0.000000,  0.828645,  1.540181,
 90.000000,  1.675040,  7.797170, -1.221894, -0.684000,  2.239000,  2.702000, 14.806000, 14.828828, 16.000000,  0.000000,  0.828645,  1.675040,
 91.000000,  1.655980,  7.653510, -1.289871, -0.456000,  2.239000,  2.702000, 14.834000, 14.823248, 16.000000,  0.000000,  0.828645,  1.655980,
 92.000000,  1.655980,  7.653510, -1.689871, -0.443000,  2.239000,  2.702000, 14.862000, 14.826861, 16.000000,  0.000000,  0.828645,  1.655980,
 93.000000,  1.655980,  7.653510, -2.125946, -0.443000,  2.238000,  2.702000, 14.862000, 14.833290, 16.000000,  0.000000,  0.828275,  1.655980,
 94.000000,  1.587913,  7.324371, -2.445946, -0.475000,  2.238000,  2.702000, 14.862000, 14.836495, 16.000000,  0.000000,  0.828275,  1.587913,
 95.000000,  1.540550,  7.300382, -2.645946, -0.658000,  2.238000,  2.702000, 14.806000, 14.832348, 16.000000,  0.000000,  0.828275,  1.540550,
 96.000000,  1.287380,  7.328520, -2.509961, -0.521000,  2.238000,  2.702000, 14.778000, 14.822406, 16.000000,  0.000000,  0.828275,  1.287380,
 97.000000,  1.161427,  7.339677, -2.209955, -0.527000,  2.238000,  2.702000, 14.834000, 14.822096, 16.000000,  0.000000,  0.828275,  1.161427,
 98.000000,  0.998657,  7.340678, -1.899955, -0.456000,  2.238000,  2.702000, 14.834000, 14.824274, 16.000000,  0.000000,  0.828275,  0.998657,
 99.000000,  0.951011,  7.335344, -1.615889, -0.449000,  2.237000,  2.702000, 14.862000, 14.827595, 16.000000,  0.000000,  0.827905,  0.951011,
100.000000,  0.899099,  7.313880, -1.514872, -0.521000,  2.237000,  2.702000, 14.834000, 14.828766, 16.000000,  0.000000,  0.827905,  0.899099,
101.000000,  0.824022,  7.213500, -1.323890, -0.456000,  2.237000,  2.702000, 14.834000, 14.829722, 16.000000,  0.000000,  0.827905,  0.824022,
102.000000,  0.782013,  7.123250, -1.013890, -0.560000,  2.237000,  2.702000, 14.834000, 14.832551, 16.000000,  0.000000,  0.827905,  0.782013,
103.000000,  0.761213,  7.104800, -0.703888, -0.553000,  2.237000,  2.702000, 14.834000, 14.835452, 16.000000,  0.000000,  0.827905,  0.761213,
104.000000,  0.759274,  7.078460, -0.528985, -0.534000,  2.237000,  2.702000, 14.834000, 14.836617, 16.000000,  0.000000,  0.827905,  0.759274,
105.000000,  0.803070,  6.978090, -0.338985, -0.469000,  2.237000,  2.702000, 14.834000, 14.836136, 16.000000,  0.000000,  0.827905,  0.803070,
106.000000,  0.803070,  6.978090, -0.098857, -0.306000,  2.237000,  2.702000, 14.862000, 14.837920, 16.000000,  0.000000,  0.827905,  0.803070,
107.000000,  0.803070,  6.978090, -0.098857, -0.299000,  2.237000,  2.702000, 14.917000, 14.850040, 16.000000,  0.000000,  0.827905,  0.803070,
108.000000,  0.803070,  6.978090,  0.021143, -0.482000,  2.236000,  2.702000, 14.917000, 14.862289, 16.000000,  0.000000,  0.827535,  0.803070,
109.000000,  0.803070,  6.978090,  0.421143, -0.482000,  2.236000,  2.702000, 14.862000, 14.866249, 16.000000,  0.000000,  0.827535,  0.803070,
110.000000,  0.803070,  6.978090,  0.823153, -0.475000,  2.236000,  2.702000, 14.862000, 14.865472, 16.000000,  0.000000,  0.827535,  0.803070,
111.000000,  0.825388,  6.870860,  1.223153, -0.462000,  2.236000,  2.702000, 14.862000, 14.864837, 16.000000,  0.000000,  0.827535,  0.825388,
112.000000,  0.848636,  6.900031,  1.442988, -0.690000,  2.236000,  2.702000, 14.778000, 14.854819, 16.000000,  0.000000,  0.827535,  0.848636,
113.000000,  1.062990,  7.039550,  1.565140, -0.697000,  2.236000,  2.702000, 14.750000, 14.837571, 16.000000,  0.000000,  0.827535,  1.062990,
114.000000,  1.275440,  7.264130,  1.769079, -0.697000,  2.235000,  2.702000, 14.750000, 14.821553, 16.000000,  0.000000,  0.827165,  1.275440,
115.000000,  1.390450,  7.472195,  2.009079, -0.495000,  2.235000,  2.702000, 14.750000, 14.808464, 16.000000,  0.000000,  0.827165,  1.390450,
116.000000,  1.531370,  7.734230,  2.289079, -0.645000,  2.235000,  2.702000, 14.778000, 14.802941, 16.000000,  0.000000,  0.827165,  1.531370,
117.000000,  1.544720,  7.806070,  2.573145, -0.775000,  2.235000,  2.702000, 14.778000, 14.801449, 16.000000,  0.000000,  0.827165,  1.544720,
118.000000,  1.493373,  7.924845,  2.773145, -0.690000,  2.235000,  2.702000, 14.750000, 14.792504, 16.000000,  0.000000,  0.827165,  1.493373,
119.000000,  1.509840,  7.942480,  2.473145, -0.488000,  2.235000,  2.702000, 14.806000, 14.790555, 16.000000,  0.000000,  0.827165,  1.509840,
120.000000,  1.361150,  8.218743,  2.153145, -0.749000,  2.234000,  2.702000, 14.806000, 14.793381, 16.000000,  0.000000,  0.826795,  1.361150,
121.000000,  1.367135,  8.270899,  1.558590, -0.540000,  2.234000,  2.702000, 14.750000, 14.787876, 16.000000,  0.000000,  0.826795,  1.367135,
122.000000,  1.399953,  8.541303,  1.902554, -0.664000,  2.234000,  2.702000, 14.778000, 14.787684, 16.000000,  0.000000,  0.826795,  1.399953,
123.000000,  1.416310,  8.556820,  2.206757, -0.794000,  2.234000,  2.702000, 14.778000, 14.788921, 16.000000,  0.000000,  0.826795,  1.416310,
124.000000,  1.371984,  8.663168,  2.366756, -0.710000,  2.234000,  2.702000, 14.750000, 14.782744, 16.000000,  0.000000,  0.826795,  1.371984,
125.000000,  1.343842,  8.718034,  2.122714, -0.488000,  2.234000,  2.702000, 14.778000, 14.779952, 16.000000,  0.000000,  0.826795,  1.343842,
126.000000,  1.343842,  8.718034,  1.714772, -0.482000,  2.233000,  2.702000, 14.806000, 14.784717, 16.000000,  0.000000,  0.826425,  1.343842,
127.000000,  1.343842,  8.718034,  1.314772, -0.469000,  2.233000,  2.702000, 14.834000, 14.792789, 16.000000,  0.000000,  0.826425,  1.343842,
128.000000,  1.343842,  8.718034,  0.914697, -0.475000,  2.233000,  2.702000, 14.834000, 14.800326, 16.000000,  0.000000,  0.826425,  1.343842,
129.000000,  1.174230,  8.962470,  0.554697, -0.579000,  2.233000,  2.702000, 14.806000, 14.805926, 16.000000,  0.000000,  0.826425,  1.174230,
130.000000,  1.201770,  8.973407,  0.214697, -0.592000,  2.233000,  2.702000, 14.806000, 14.805938, 16.000000,  0.000000,  0.826425,  1.201770,
131.000000,  1.219400,  8.989910,  0.014697, -0.684000,  2.233000,  2.702000, 14.750000, 14.799121, 16.000000,  0.000000,  0.826425,  1.219400,
132.000000,  1.522434,  8.963112,  0.048759, -0.684000,  2.233000,  2.702000, 14.723000, 14.787542, 16.000000,  0.000000,  0.826425,  1.522434,
133.000000,  1.786104,  8.899053,  0.188759, -0.469000,  2.232000,  2.702000, 14.778000, 14.781871, 16.000000,  0.000000,  0.826055,  1.786104,
134.000000,  1.906940,  8.878930,  0.502769, -0.495000,  2.232000,  2.702000, 14.806000, 14.782809, 16.000000,  0.000000,  0.826055,  1.906940,
135.000000,  1.906940,  8.878930,  0.702769, -0.273000,  2.232000,  2.702000, 14.862000, 14.789786, 16.000000,  0.000000,  0.826055,  1.906940,
136.000000,  1.906940,  8.878930,  0.702769, -0.267000,  2.232000,  2.702000, 14.890000, 14.806687, 16.000000,  0.000000,  0.826055,  1.906940,
137.000000,  1.906940,  8.878930,  0.582769, -0.449000,  2.232000,  2.702000, 14.890000, 14.825796, 16.000000,  0.000000,  0.826055,  1.906940,
138.000000,  1.906940,  8.878930,  0.181016, -0.443000,  2.232000,  2.702000, 14.862000, 14.833847, 16.000000,  0.000000,  0.826055,  1.906940,
139.000000,  1.995220,  8.863710, -0.219038, -0.469000,  2.232000,  2.702000, 14.834000, 14.836308, 16.000000,  0.000000,  0.826055,  1.995220,
140.000000,  1.995220,  8.863710, -0.619038, -0.449000,  2.232000,  2.702000, 14.834000, 14.835886, 16.000000,  0.000000,  0.826055,  1.995220,
141.000000,  1.995220,  8.863710, -1.019038, -0.475000,  2.231000,  2.702000, 14.834000, 14.835541, 16.000000,  0.000000,  0.825685,  1.995220,
142.000000,  1.996055,  8.858780, -1.402911, -0.469000,  2.231000,  2.702000, 14.834000, 14.835259, 16.000000,  0.000000,  0.825685,  1.996055,
143.000000,  2.016850,  8.869370, -1.602911, -0.658000,  2.231000,  2.702000, 14.750000, 14.826617, 16.000000,  0.000000,  0.825685,  2.016850,
144.000000,  1.951016,  8.587594, -1.522911, -0.664000,  2.231000,  2.702000, 14.750000, 14.812602, 16.000000,  0.000000,  0.825685,  1.951016,
145.000000,  1.844880,  8.290700, -1.502911, -0.671000,  2.231000,  2.702000, 14.750000, 14.798805, 16.000000,  0.000000,  0.825685,  1.844880,
146.000000,  1.810843,  8.089279, -1.380879, -0.651000,  2.231000,  2.702000, 14.723000, 14.784939, 16.000000,  0.000000,  0.825685,  1.810843,
147.000000,  1.749850,  7.779620, -1.256961, -0.671000,  2.230000,  2.702000, 14.723000, 14.773607, 16.000000,  0.000000,  0.825315,  1.749850,
148.000000,  1.743302,  7.598528, -1.376875, -0.469000,  2.230000,  2.702000, 14.750000, 14.766447, 16.000000,  0.000000,  0.825315,  1.743302,
149.000000,  1.743302,  7.598528, -1.784646, -0.456000,  2.230000,  2.702000, 14.806000, 14.770734, 16.000000,  0.000000,  0.825315,  1.743302,
150.000000,  1.743302,  7.598528, -2.192767, -0.443000,  2.230000,  2.702000, 14.834000, 14.778294, 16.000000,  0.000000,  0.825315,  1.743302,
151.000000,  1.746970,  7.323710, -2.537300, -0.443000,  2.230000,  2.702000, 14.806000, 14.784791, 16.000000,  0.000000,  0.825315,  1.746970,
152.000000,  1.725090,  7.297670, -2.737300, -0.651000,  2.230000,  2.702000, 14.750000, 14.783869, 16.000000,  0.000000,  0.825315,  1.725090,
153.000000,  1.453983,  7.237256, -2.698806, -0.664000,  2.229000,  2.702000, 14.750000, 14.777674, 16.000000,  0.000000,  0.824944,  1.453983,
154.000000,  1.190393,  7.222637, -2.538806, -0.430000,  2.229000,  2.702000, 14.778000, 14.772810, 16.000000,  0.000000,  0.824944,  1.190393,
155.000000,  1.064999,  7.204742, -2.228806, -0.469000,  2.229000,  2.702000, 14.806000, 14.774868, 16.000000,  0.000000,  0.824944,  1.064999,
156.000000,  0.975410,  7.193910, -1.918806, -0.482000,  2.229000,  2.702000, 14.806000, 14.780561, 16.000000,  0.000000,  0.824944,  0.975410,
157.000000,  0.975410,  7.193910, -1.638806, -0.306000,  2.229000,  2.702000, 14.834000, 14.786860, 16.000000,  0.000000,  0.824944,  0.975410,
158.000000,  0.975410,  7.193910, -1.638806, -0.299000,  2.229000,  2.702000, 14.890000, 14.801248, 16.000000,  0.000000,  0.824944,  0.975410,
159.000000,  0.975410,  7.193910, -1.718806, -0.449000,  2.229000,  2.702000, 14.862000, 14.816923, 16.000000,  0.000000,  0.824944,  0.975410,
160.000000,  0.975410,  7.193910, -2.118806, -0.488000,  2.229000,  2.702000, 14.834000, 14.822479, 16.000000,  0.000000,  0.824944,  0.975410,
161.000000,  0.946494,  7.171710, -2.518806, -0.495000,  2.229000,  2.702000, 14.806000, 14.824027, 16.000000,  0.000000,  0.824944,  0.946494,
162.000000,  0.946494,  7.171710, -2.918806, -0.475000,  2.228000,  2.702000, 14.806000, 14.820729, 16.000000,  0.000000,  0.824574,  0.946494,
163.000000,  0.946494,  7.171710,  2.960243, -0.475000,  2.228000,  2.702000, 14.806000, 14.818033, 16.000000,  0.000000,  0.824574,  0.946494,
164.000000,  0.946494,  7.171710,  2.556561, -0.482000,  2.228000,  2.702000, 14.806000, 14.815832, 16.000000,  0.000000,  0.824574,  0.946494,
165.000000,  0.946494,  7.171710,  2.156547, -0.482000,  2.228000,  2.702000, 14.806000, 14.814034, 16.000000,  0.000000,  0.824574,  0.946494,
166.000000,  0.946494,  7.171710,  1.752535, -0.482000,  2.228000,  2.702000, 14.806000, 14.812566, 16.000000,  0.000000,  0.824574,  0.946494,
167.000000,  0.922444,  7.161068,  1.532535, -0.697000,  2.228000,  2.702000, 14.750000, 14.805994, 16.000000,  0.000000,  0.824574,  0.922444,
168.000000,  1.009840,  7.348840,  1.532535, -0.684000,  2.227000,  2.702000, 14.723000, 14.791721, 16.000000,  0.000000,  0.824204,  1.009840,
169.000000,  1.116674,  7.553212,  1.634604, -0.612000,  2.227000,  2.702000, 14.723000, 14.779151, 16.000000,  0.000000,  0.824204,  1.116674,
170.000000,  1.237170,  7.819040,  1.798559, -0.710000,  2.227000,  2.702000, 14.695000, 14.768320, 16.000000,  0.000000,  0.824204,  1.237170,
171.000000,  1.304923,  8.107790,  1.876447, -0.684000,  2.227000,  2.702000, 14.695000, 14.754908, 16.000000,  0.000000,  0.824204,  1.304923,
172.000000,  1.386000,  8.413510,  2.076447, -0.677000,  2.227000,  2.702000, 14.695000, 14.743949, 16.000000,  0.000000,  0.824204,  1.386000,
173.000000,  1.392520,  8.758360,  2.280460, -0.755000,  2.227000,  2.702000, 14.695000, 14.734995, 16.000000,  0.000000,  0.824204,  1.392520,
174.000000,  1.392520,  8.758360,  1.920460, -0.482000,  2.226000,  2.702000, 14.750000, 14.736360, 16.000000,  0.000000,  0.823834,  1.392520,
175.000000,  1.392520,  8.758360,  1.512591, -0.482000,  2.226000,  2.702000, 14.778000, 14.743977, 16.000000,  0.000000,  0.823834,  1.392520,
